date,volume,vix,Volum_sum_5,Volum_sum_21,log_volume,log_sum_5,log_sum_21,diff_log_volume,diff_log_sum_5,diff_log_sum_21,delta_iv,iv_z,delta_iv_z,diff_volume
2005-06-21,3327170847.0,11.08,20181075628.0,77354354146.0,21.925388184633025,23.72801115218578,25.07166270387439,0.046574630778739134,0.004756494549319257,0.012004215740955004,-0.39000000000000057,-0.916706440476571,-0.20994723970819446,151408488.0
2005-06-22,3533216948.0,11.05,20124769112.0,77348969493.0,21.985474609891558,23.725217187539265,25.071593091239375,0.06008642525853247,-0.0027939646465142687,-6.96126350163695e-05,-0.02999999999999936,-0.9201881779109412,-0.016067936802448723,206046101.0
2005-06-23,4106052129.0,12.13,19911352651.0,76485406599.0,22.135727851517114,23.714555891037264,25.060365796182555,0.1502532416255562,-0.010661296502000539,-0.011227295056819742,1.08,-0.7948456302736128,0.5817265804902649,572835181.0
2005-06-24,5808500363.0,12.18,16965902419.0,74364537577.0,22.48258826158458,23.55447142681241,25.032245019696912,0.3468604100674675,-0.16008446422485534,-0.028120776485643262,0.049999999999998934,-0.7890427345496626,0.027016352732160378,1702448234.0
2005-06-27,3310372094.0,12.52,16927557696.0,74877284884.0,21.9203264354251,23.552208763795594,25.039116408909745,-0.5622618261594816,-0.00226266301681477,0.0068713892128329235,0.33999999999999986,-0.7495830436268,0.1831969022951222,-2498128269.0
2005-06-28,3422934094.0,11.58,17020994206.0,75246855979.0,21.953763942730376,23.55771337242791,25.04403995870587,0.03343750730527617,0.0055046086323145005,0.00492354979612486,-0.9399999999999995,-0.8586774832370672,-0.5061517302586377,112562000.0
2005-06-29,3476910432.0,11.77,17119010001.0,75205449198.0,21.9694099297899,23.563455379001983,25.043489528029568,0.015645987059524913,0.00574200657407431,-0.0005504306763022271,0.1899999999999995,-0.8366264794860557,0.10241385941772821,53976338.0
2005-06-30,3892635668.0,12.04,16833639159.0,74572119094.0,22.082352315014948,23.546645052315373,25.0350325356255,0.11294238522504685,-0.016810326686609756,-0.008456992404067165,0.2699999999999996,-0.8052908425767237,0.14549814895233829,415725236.0
2005-07-01,2863050131.0,11.4,17613481425.0,75576264457.0,21.775153373212962,23.59193043588345,25.048408108639684,-0.30719894180198537,0.04528538356807843,0.013375573014183573,-0.6399999999999988,-0.8795679078432885,-0.34458564450384976,-1029585537.0
2005-07-05,3272027371.0,11.68,17965434036.0,76156684716.0,21.908675621177593,23.611715417364767,25.056058695980465,0.1335222479646312,0.019784981481315356,0.00765058734078039,0.27999999999999936,-0.8470716917891664,0.15088368514416442,408977240.0
