date,daily_vol
2000-01-03,
2000-01-04,
2000-01-05,
2000-01-06,
2000-01-07,
2000-01-10,
2000-01-11,
2000-01-12,
2000-01-13,
2000-01-14,
2000-01-18,
2000-01-19,
2000-01-20,
2000-01-21,
2000-01-24,
2000-01-25,
2000-01-26,
2000-01-27,
2000-01-28,
2000-01-31,
2000-02-01,26.722831915199407
2000-02-02,26.681734233441425
2000-02-03,23.159486689130222
2000-02-04,23.139243737598687
2000-02-07,22.887243791334942
2000-02-08,20.519991721928154
2000-02-09,20.516192287069256
2000-02-10,19.689988987198543
2000-02-11,20.527644258024345
2000-02-14,19.733821705184223
2000-02-15,19.503289678513212
2000-02-16,19.576785300043518
2000-02-17,19.590851611504796
2000-02-18,21.490034365165638
2000-02-22,21.449165575098718
2000-02-23,20.168936615994408
2000-02-24,20.068963810321648
2000-02-25,20.27786066201265
2000-02-28,20.441074580168237
2000-02-29,18.732811930513797
2000-03-01,18.720484872566736
2000-03-02,18.38164654844609
2000-03-03,19.76053229505724
2000-03-06,19.414570856549986
2000-03-07,21.03701274972281
2000-03-08,21.123270471496596
2000-03-09,22.264797203837276
2000-03-10,21.31012855409371
2000-03-13,21.96800174981785
2000-03-14,22.55861003430841
2000-03-15,22.651656766956364
2000-03-16,26.571420075938732
2000-03-17,26.456068343501084
2000-03-20,27.27952616076753
2000-03-21,25.88715771304374
2000-03-22,26.055890011281523
2000-03-23,26.141404349881437
2000-03-24,26.093024753447043
2000-03-27,25.746630528750746
2000-03-28,26.495400245929485
2000-03-29,26.39329889521202
2000-03-30,26.98227270998498
2000-03-31,27.23143469037208
2000-04-03,26.89785854256803
2000-04-04,27.173302839367906
2000-04-05,26.02699638821199
2000-04-06,26.486497962848922
2000-04-07,25.65152844288231
2000-04-10,26.56168833971215
2000-04-11,26.305455304175986
2000-04-12,27.240545813474448
2000-04-13,27.72245515101432
2000-04-14,31.64545619250891
2000-04-17,33.73897118644847
2000-04-18,36.688258929417735
2000-04-19,35.84326130407221
2000-04-20,35.31873504699737
2000-04-24,34.676308085492614
2000-04-25,37.888477033684005
2000-04-26,37.969791090181154
2000-04-27,38.035889802553584
2000-04-28,37.97246197675362
2000-05-01,38.04194096373107
2000-05-02,38.20033853274078
2000-05-03,38.40596793937108
2000-05-04,38.25914366725946
2000-05-05,38.74605905188294
2000-05-08,38.30702130064408
2000-05-09,37.87676468380054
2000-05-10,38.33655917956123
2000-05-11,39.22453893082747
2000-05-12,38.14968809838423
2000-05-15,38.414816159341434
2000-05-16,29.974962880977845
2000-05-17,29.136962088522537
2000-05-18,26.293313682607593
2000-05-19,27.492917210365285
2000-05-22,27.596771988187307
2000-05-23,28.486652709084648
2000-05-24,25.287832406752454
2000-05-25,25.299886233024836
2000-05-26,25.03847934575899
2000-05-30,28.820203296368323
2000-05-31,28.17062450575066
2000-06-01,29.006745159910647
2000-06-02,29.674970640659442
2000-06-05,29.7412943997399
2000-06-06,29.49748842562701
2000-06-07,29.422881505046366
2000-06-08,29.12479361609279
2000-06-09,27.178082561726086
2000-06-12,26.881591741487327
2000-06-13,27.14488053036888
2000-06-14,26.31037967434145
2000-06-15,25.952105569375284
2000-06-16,25.592146961050368
2000-06-19,25.7387622508931
2000-06-20,23.96853675233429
2000-06-21,23.613462275490217
2000-06-22,23.00420751158361
2000-06-23,23.065582323193134
2000-06-26,22.544435627533453
2000-06-27,22.69038440864323
2000-06-28,19.10505195376343
2000-06-29,19.32969583878649
2000-06-30,17.55675545367081
2000-07-03,14.77288703876124
2000-07-05,15.754683587428845
2000-07-06,15.760836468664973
2000-07-07,16.07895098257345
2000-07-10,15.955717088116089
2000-07-11,15.96005321758044
2000-07-12,15.876607864024345
2000-07-13,15.296907121506612
2000-07-14,15.507615466989103
2000-07-17,15.477040759008151
2000-07-18,16.046260570737335
2000-07-19,15.76161775097974
2000-07-20,16.32671348826823
2000-07-21,16.887004194705458
2000-07-24,16.205097660180876
2000-07-25,15.866255600613513
2000-07-26,16.182747238957905
2000-07-27,16.458701610272897
2000-07-28,18.11159776817053
2000-07-31,18.403646475739524
2000-08-01,18.19686910267807
2000-08-02,17.782605673072762
2000-08-03,17.36652013467291
2000-08-04,17.409042905685528
2000-08-07,17.219516105047774
2000-08-08,17.2181332029927
2000-08-09,17.296143353360588
2000-08-10,16.835939249712194
2000-08-11,16.996020862543084
2000-08-14,17.266565506782168
2000-08-15,17.26673604616691
2000-08-16,16.753642849601388
2000-08-17,16.814712357575427
2000-08-18,16.164283653784345
2000-08-21,15.69298449626456
2000-08-22,14.859606550107571
2000-08-23,14.844907365962234
2000-08-24,14.129083997485461
2000-08-25,13.514521407730271
2000-08-28,9.849347846431243
2000-08-29,9.639324751454312
2000-08-30,9.713198674792963
2000-08-31,10.170384901270932
2000-09-01,9.893838070233398
2000-09-05,10.47656634207982
2000-09-06,10.9260557351681
2000-09-07,11.147984759946516
2000-09-08,11.488632296666115
2000-09-11,11.051316756296497
2000-09-12,10.983483250772487
2000-09-13,10.166865239590802
2000-09-14,10.054209412181535
2000-09-15,10.860257205241492
2000-09-18,11.819759402119814
2000-09-19,12.73644739807768
2000-09-20,12.703843453852842
2000-09-21,12.796833478950944
2000-09-22,12.738740103793614
2000-09-25,12.672791872038289
2000-09-26,12.912555613975094
2000-09-27,12.664673467721139
2000-09-28,15.380406015837156
2000-09-29,15.84248865790977
2000-10-02,15.063803646755346
2000-10-03,15.121095244855768
2000-10-04,15.369011675966664
2000-10-05,14.995222808481365
2000-10-06,15.952278173728029
2000-10-09,15.84245061990094
