date,sh_volume
2000-01-03,2693960527.0
2000-01-04,2735844583.0
2000-01-05,3057963361.0
2000-01-06,2906863811.0
2000-01-07,3118736941.0
2000-01-10,3045530150.0
2000-01-11,2946214566.0
2000-01-12,2730198571.0
2000-01-13,2711438016.0
2000-01-14,2964148275.0
2000-01-18,2851221013.0
2000-01-19,2949194291.0
2000-01-20,3188945609.0
2000-01-21,3363846379.0
2000-01-24,3361409523.0
2000-01-25,3021438224.0
2000-01-26,3063352466.0
2000-01-27,3135840067.0
2000-01-28,2886751958.0
2000-01-31,2684984407.0
2000-02-01,2590222784.0
2000-02-02,2751571506.0
2000-02-03,3049162608.0
2000-02-04,3009442097.0
2000-02-07,2736200032.0
2000-02-08,3261299696.0
2000-02-09,3054417048.0
2000-02-10,3107970372.0
2000-02-11,2997848430.0
2000-02-14,2733260098.0
2000-02-15,3019883228.0
2000-02-16,3031391597.0
2000-02-17,3255478038.0
2000-02-18,3141601368.0
2000-02-22,2985997810.0
2000-02-23,3106656304.0
2000-02-24,3382082967.0
2000-02-25,3130116594.0
2000-02-28,3050279854.0
2000-02-29,3519347248.0
2000-03-01,3778113654.0
2000-03-02,3576959550.0
2000-03-03,3561038595.0
2000-03-06,3309487731.0
2000-03-07,3776352394.0
2000-03-08,3491647009.0
2000-03-09,3361624633.0
2000-03-10,3388081305.0
2000-03-13,2974363593.0
2000-03-14,3326470313.0
2000-03-15,3524808054.0
2000-03-16,3857660293.0
2000-03-17,3239966170.0
2000-03-20,2687676504.0
2000-03-21,3046359160.0
2000-03-22,3091553904.0
2000-03-23,2992889624.0
2000-03-24,2954603868.0
2000-03-27,2471651329.0
2000-03-28,2655063913.0
2000-03-29,3027790886.0
2000-03-30,3359512428.0
2000-03-31,3558166792.0
2000-04-03,3028436427.0
2000-04-04,4761620974.0
2000-04-05,3301803652.0
2000-04-06,2981078911.0
2000-04-07,2665021684.0
2000-04-10,2534086410.0
2000-04-11,2889485986.0
2000-04-12,3331732759.0
2000-04-13,3209924668.0
2000-04-14,4156049530.0
2000-04-17,3966771836.0
2000-04-18,3520858320.0
2000-04-19,2983572964.0
2000-04-20,2499168842.0
2000-04-24,2624850854.0
2000-04-25,2909090672.0
2000-04-26,2795036468.0
2000-04-27,2883475726.0
2000-04-28,2770105165.0
2000-05-01,2673270421.0
2000-05-02,2658732253.0
2000-05-03,2681468522.0
2000-05-04,2387987130.0
2000-05-05,2167238741.0
2000-05-08,2087000918.0
2000-05-09,2537905178.0
2000-05-10,2793642652.0
2000-05-11,2507114647.0
2000-05-12,2263593734.0
2000-05-15,2178210642.0
2000-05-16,2653467191.0
2000-05-17,2204937161.0
2000-05-18,2237996329.0
2000-05-19,2410090077.0
2000-05-22,2684459144.0
2000-05-23,2377946453.0
2000-05-24,3477697486.0
2000-05-25,2740175164.0
2000-05-26,1944899066.0
2000-05-30,2485525951.0
2000-05-31,2690058568.0
2000-06-01,2735563875.0
2000-06-02,3302956384.0
2000-06-05,2495565092.0
2000-06-06,2732604435.0
2000-06-07,2460954986.0
2000-06-08,2420765469.0
2000-06-09,2241580314.0
2000-06-12,2216604417.0
2000-06-13,2459966006.0
2000-06-14,2528097444.0
2000-06-15,2615797267.0
2000-06-16,2884445167.0
2000-06-19,2502758063.0
2000-06-20,2904597263.0
2000-06-21,2725395160.0
2000-06-22,2846506633.0
2000-06-23,2408270004.0
2000-06-26,2399840153.0
2000-06-27,2703473676.0
2000-06-28,2935608757.0
2000-06-29,2901948380.0
2000-06-30,3763982758.0
2000-07-03,1267555815.0
2000-07-05,2549051417.0
2000-07-06,2634251194.0
2000-07-07,2621026132.0
2000-07-10,2404904777.0
2000-07-11,2886745048.0
2000-07-12,2983438457.0
2000-07-13,3142616546.0
2000-07-14,2832284463.0
2000-07-17,2687235386.0
2000-07-18,2600401662.0
2000-07-19,2549166946.0
2000-07-20,2988402852.0
2000-07-21,2688571025.0
2000-07-24,2539897728.0
2000-07-25,2638016787.0
2000-07-26,3199537080.0
2000-07-27,3149494683.0
2000-07-28,2976698985.0
2000-07-31,2636437260.0
2000-08-01,2440246333.0
2000-08-02,2667373729.0
2000-08-03,3106972926.0
2000-08-04,2564051532.0
2000-08-07,2356654472.0
2000-08-08,2647290697.0
2000-08-09,2784333063.0
2000-08-10,2499450168.0
2000-08-11,2336354859.0
2000-08-14,2188304824.0
2000-08-15,2442324384.0
2000-08-16,2532722527.0
2000-08-17,2519940951.0
2000-08-18,2435071348.0
2000-08-21,2183352723.0
2000-08-22,2400166307.0
2000-08-23,2483835164.0
2000-08-24,2545325012.0
2000-08-25,2096900250.0
2000-08-28,2269854063.0
2000-08-29,2454980841.0
2000-08-30,2534698428.0
2000-08-31,3208108524.0
2000-09-01,2422294704.0
2000-09-05,2709236218.0
2000-09-06,2978618824.0
2000-09-07,2811894053.0
2000-09-08,2695562891.0
2000-09-11,2572477707.0
2000-09-12,2779840974.0
2000-09-13,2966092745.0
2000-09-14,2920476495.0
2000-09-15,3213949071.0
2000-09-18,2783268166.0
2000-09-19,2908460468.0
2000-09-20,3129625027.0
2000-09-21,2925817292.0
2000-09-22,3584075887.0
2000-09-25,2960937368.0
2000-09-26,3146896559.0
