date,volume_all,hist_vol,vix,log_volume,log_hist_vol,log_vix
2004-01-01,3213291345.0,9.601452625722803,18.22,21.890561589906667,2.261914402206262,2.9025198918318122
2004-01-02,3213291345.0,9.601452625722803,18.22,21.890561589906667,2.261914402206262,2.9025198918318122
2004-01-05,4529997306.0,10.124151463702988,17.49,22.23398718173919,2.3149238034266535,2.8616292890305104
2004-01-06,4308224839.0,10.1253656704338,16.73,22.183791785918576,2.3150437279388503,2.8172035149987327
2004-01-07,4697460900.0,9.54256077203595,15.5,22.270287965640883,2.2557618741824337,2.740840023925201
2004-01-08,5293303509.0,9.484220125239574,15.61,22.389708369761518,2.2496293781024677,2.7479117345273405
2004-01-09,4770807712.0,9.09635248789312,16.75,22.285781459167858,2.207873507664538,2.8183982582710754
2004-01-12,4286809999.0,8.851862314564057,16.82,22.178808703309493,2.180627867906523,2.822568654544802
2004-01-13,4557797162.0,8.543103779540509,18.04,22.24010526524392,2.145124381999303,2.8925915146344776
2004-01-14,4202375643.0,8.697938653037243,16.75,22.1589158316135,2.163086061154166,2.8183982582710754
2004-01-15,4606945208.0,7.978464314640968,15.56,22.250830829623474,2.0767459511681086,2.7447035187502458
2004-01-16,5058902452.0,8.074460807261334,15.0,22.344415389998755,2.0887060937847264,2.70805020110221
2004-01-19,5019644834.0,8.065348083639512,15.105,22.33662501794793,2.087576870427528,2.7150258148386355
2004-01-20,4980387216.0,8.05623536001769,15.21,22.328773479177137,2.0864463704832517,2.7219531062712017
2004-01-21,4929565556.0,7.423146646267967,14.34,22.31851669860278,2.00460304360078,2.663052835171474
2004-01-22,4713406493.0,7.60765550639613,14.71,22.273676730479163,2.02915504377575,2.688527534613346
2004-01-23,4361591322.0,7.727727608553458,14.84,22.19610280982768,2.0448148489486235,2.6973262377392344
2004-01-26,3945427354.0,8.20305833771767,14.55,22.095823113387333,2.1045070527492764,2.6775909936175015
2004-01-27,4425628756.0,9.02395173923262,15.35,22.21067819706364,2.1998823466953716,2.731115474033206
2004-01-28,4838757204.0,10.717146791940444,16.78,22.299923748669283,2.3718449627482285,2.8201877010390604
2004-01-29,5258864359.0,9.931204738399032,17.14,22.383180939055183,2.2956817937996434,2.8414149131696336
2004-01-30,4126700500.0,9.94973884079373,16.63,22.140744014208735,2.2975463036696295,2.811208293204836
2004-02-02,4067243281.0,9.960921225469026,17.11,22.12623128037604,2.2986695598363083,2.839663087904102
2004-02-03,3842992795.0,9.94255688542939,17.34,22.069517273689993,2.2968242195245674,2.853015971352396
2004-02-04,4521470349.0,9.824294356339257,17.87,22.232103076343808,2.2848583339383217,2.8831233291713367
2004-02-05,4062883709.0,9.83229171007448,17.71,22.125158831588163,2.285672041277884,2.8741294517947424
2004-02-06,3825733909.0,10.960861804620992,16.0,22.06501615745389,2.3943309102370356,2.772588722239781
2004-02-09,3471101897.0,10.866170323347566,16.39,21.96773793006471,2.3856543228958214,2.7966713927557385
2004-02-10,3528945004.0,10.718581698527066,15.94,21.984264797499975,2.3719788426477995,2.768831673362069
2004-02-11,4546551243.0,11.094909467318756,15.39,22.237634813934427,2.4064863965782832,2.733717947850788
2004-02-12,3943919559.0,11.090939904624827,15.31,22.09544087768773,2.4061285502168714,2.7285062096695922
2004-02-13,3584611727.0,11.105208758415996,15.58,21.999916000251147,2.4074142557663674,2.7459880404426023
2004-02-16,3569642737.5,11.321912364746632,15.49,21.995731354200856,2.4267399953218938,2.740194654428777
2004-02-17,3554673748.0,11.538615971077268,15.4,21.991529123275754,2.445699320705182,2.7343675094195836
2004-02-18,3691287297.0,11.495071467720388,15.59,22.029241095136616,2.4419183754833678,2.7466296830696852
2004-02-19,4165426662.0,11.651766071802136,15.8,22.150084547174554,2.4554577626685843,2.760009940032921
2004-02-20,3937231199.0,11.55355372913457,16.04,22.093743571847234,2.446993071819502,2.7750856024383683
2004-02-23,3872871860.0,11.640317892566308,16.29,22.077262151468226,2.454474752288301,2.790551422613954
2004-02-24,4162113672.0,11.636298830126329,15.9,22.149288876414186,2.4541294218197196,2.766319109226186
2004-02-25,3524203084.0,11.149588971796192,14.93,21.98292017219074,2.411402633710615,2.703372611551099
2004-02-26,3619073627.0,10.809233910874504,14.83,22.00948392589139,2.3804007605805717,2.696652156149841
2004-02-27,3907591702.0,9.49579927252042,14.55,22.08618708818671,2.250849518975321,2.6775909936175015
2004-03-01,3651411806.0,10.04661875060457,14.44,22.01837972591884,2.3072361351696196,2.67000213346468
2004-03-02,3809115666.0,10.307381931412037,14.86,22.06066289048222,2.3328603309043574,2.698673039289613
2004-03-03,3454364192.0,10.28334446335429,14.55,21.962904251760946,2.330525544018613,2.6775909936175015
2004-03-04,3457794052.0,10.357085992304944,14.4,21.963896665464578,2.3376709223921,2.667228206581955
2004-03-05,3936849642.0,9.562372597425776,14.48,22.093646657170336,2.2578358759188837,2.6727683869575705
2004-03-08,3766612963.0,10.136141028419017,15.79,22.049442016284335,2.3161073565387587,2.7593768282675506
2004-03-09,4103058898.0,9.281689418850393,16.6,22.134998605165727,2.228043579674205,2.8094026953624978
2004-03-10,4357970916.0,10.709016722930228,18.67,22.195272399743036,2.371086070994718,2.9269179575536315
2004-03-11,4725840404.0,11.414270775656204,20.67,22.27631124535674,2.4348643949500195,3.028683373693677
2004-03-12,3558647066.0,11.77030962328516,18.3,21.992646271937296,2.46558022706766,2.9069010598473755
2004-03-15,3838148280.0,12.731268740074544,21.13,22.068255868491192,2.5440610729663318,3.0506938316279655
2004-03-16,3963834719.0,12.852111652176044,20.34,22.100477757035286,2.5535081287490256,3.012589390620414
