date,exchange,sh_volume
2000-08-08,NASDAQ,1500061210.0
2000-08-09,NASDAQ,1569070399.0
2000-08-10,NASDAQ,1403241838.0
2000-08-11,NASDAQ,1368643145.0
2000-08-14,NASDAQ,1274264768.0
2000-08-15,NASDAQ,1405079725.0
2000-08-16,NASDAQ,1462202972.0
2000-08-17,NASDAQ,1438835719.0
2000-08-18,NASDAQ,1478506185.0
2000-08-21,NASDAQ,1302733610.0
2000-08-22,NASDAQ,1424014058.0
2000-08-23,NASDAQ,1456734299.0
2000-08-24,NASDAQ,1560153258.0
2000-08-25,NASDAQ,1264610395.0
2000-08-28,NASDAQ,1390962093.0
2000-08-29,NASDAQ,1491762025.0
2000-08-30,NASDAQ,1543396686.0
2000-08-31,NASDAQ,1945159810.0
2000-09-01,NASDAQ,1462303604.0
2000-09-05,NASDAQ,1675889545.0
2000-09-06,NASDAQ,1794584943.0
2000-09-07,NASDAQ,1671198413.0
2000-09-08,NASDAQ,1544158168.0
2000-09-11,NASDAQ,1485709761.0
2000-09-12,NASDAQ,1604285673.0
2000-09-13,NASDAQ,1663082860.0
2000-09-14,NASDAQ,1717966116.0
2000-09-15,NASDAQ,1802410390.0
2000-09-18,NASDAQ,1637491621.0
2000-09-19,NASDAQ,1723040515.0
2000-09-20,NASDAQ,1872371868.0
2000-09-21,NASDAQ,1671540373.0
2000-09-22,NASDAQ,2234247750.0
2000-09-25,NASDAQ,1813235235.0
2000-09-26,NASDAQ,1876746098.0
2000-09-27,NASDAQ,2001869356.0
2000-09-28,NASDAQ,2014721047.0
2000-09-29,NASDAQ,2052599400.0
2000-10-02,NASDAQ,1813491407.0
2000-10-03,NASDAQ,1972144804.0
2000-10-04,NASDAQ,2084685276.0
2000-10-05,NASDAQ,1922100276.0
2000-10-06,NASDAQ,1923299562.0
2000-10-09,NASDAQ,1448101429.0
2000-10-10,NASDAQ,1906742918.0
2000-10-11,NASDAQ,2360641757.0
2000-10-12,NASDAQ,2157807099.0
2000-10-13,NASDAQ,2095233723.0
2000-10-16,NASDAQ,1835163431.0
2000-10-17,NASDAQ,2030799310.0
2000-10-18,NASDAQ,2545560936.0
2000-10-19,NASDAQ,2404738825.0
2000-10-20,NASDAQ,2259954005.0
2000-10-23,NASDAQ,1753780841.0
2000-10-24,NASDAQ,1940518375.0
2000-10-25,NASDAQ,2219468047.0
2000-10-26,NASDAQ,2314234120.0
2000-10-27,NASDAQ,2008541875.0
2000-10-30,NASDAQ,1781969792.0
2000-10-31,NASDAQ,2189032403.0
2000-11-01,NASDAQ,2017718500.0
2000-11-02,NASDAQ,2132825790.0
2000-11-03,NASDAQ,1805340829.0
2000-11-06,NASDAQ,1570144552.0
2000-11-07,NASDAQ,1690684311.0
2000-11-08,NASDAQ,1675670972.0
2000-11-09,NASDAQ,1961419895.0
2000-11-10,NASDAQ,1796689679.0
2000-11-13,NASDAQ,2102954433.0
2000-11-14,NASDAQ,1796123544.0
2000-11-15,NASDAQ,1730394527.0
2000-11-16,NASDAQ,1566571604.0
2000-11-17,NASDAQ,1771764912.0
2000-11-20,NASDAQ,1685285549.0
2000-11-21,NASDAQ,1780201585.0
2000-11-22,NASDAQ,1916795622.0
2000-11-24,NASDAQ,820313802.0
2000-11-27,NASDAQ,1734910480.0
2000-11-28,NASDAQ,1933239579.0
2000-11-29,NASDAQ,2045567309.0
2000-11-30,NASDAQ,2760269052.0
2000-12-01,NASDAQ,2260063440.0
2000-12-04,NASDAQ,1929747731.0
2000-12-05,NASDAQ,2564334576.0
2000-12-06,NASDAQ,2360594356.0
2000-12-07,NASDAQ,1792550673.0
2000-12-08,NASDAQ,2373003035.0
2000-12-11,NASDAQ,2473766862.0
2000-12-12,NASDAQ,1949726906.0
2000-12-13,NASDAQ,2078809190.0
2000-12-14,NASDAQ,1794359168.0
2000-12-15,NASDAQ,2768364284.0
2000-12-18,NASDAQ,2066980125.0
2000-12-19,NASDAQ,2352507888.0
2000-12-20,NASDAQ,2943786320.0
2000-12-21,NASDAQ,2763759622.0
2000-12-22,NASDAQ,2255151483.0
2000-12-26,NASDAQ,1589129912.0
2000-12-27,NASDAQ,1976120508.0
2000-12-28,NASDAQ,2193124217.0
2000-12-29,NASDAQ,2556579388.0
2001-01-02,NASDAQ,1986379769.0
2001-01-03,NASDAQ,3253538841.0
2001-01-04,NASDAQ,2682527464.0
2001-01-05,NASDAQ,2165507197.0
2001-01-08,NASDAQ,1882848299.0
2001-01-09,NASDAQ,2024893379.0
2001-01-10,NASDAQ,2500551791.0
2001-01-11,NASDAQ,2866415241.0
2001-01-12,NASDAQ,2536990333.0
2001-01-16,NASDAQ,2068957044.0
2001-01-17,NASDAQ,2844098487.0
2001-01-18,NASDAQ,2674837373.0
2001-01-19,NASDAQ,2762667667.0
2001-01-22,NASDAQ,2050293672.0
2001-01-23,NASDAQ,2322859540.0
2001-01-24,NASDAQ,2574899238.0
2001-01-25,NASDAQ,2313976415.0
2001-01-26,NASDAQ,2267507726.0
2001-01-29,NASDAQ,1945452495.0
2001-01-30,NASDAQ,2085234891.0
2001-01-31,NASDAQ,2395494075.0
2001-02-01,NASDAQ,1829178672.0
2001-02-02,NASDAQ,1740713823.0
2001-02-05,NASDAQ,1662435709.0
2001-02-06,NASDAQ,1818251774.0
2001-02-07,NASDAQ,2095937218.0
2001-02-08,NASDAQ,1817184060.0
2001-02-09,NASDAQ,1853783997.0
2001-02-12,NASDAQ,1709800364.0
2001-02-13,NASDAQ,1754006009.0
2001-02-14,NASDAQ,2035030006.0
2001-02-15,NASDAQ,2125477800.0
2001-02-16,NASDAQ,1953261734.0
2001-02-20,NASDAQ,1899095299.0
2001-02-21,NASDAQ,2075454979.0
2001-02-22,NASDAQ,2555011325.0
2001-02-23,NASDAQ,2290718260.0
2001-02-26,NASDAQ,1925728773.0
2001-02-27,NASDAQ,1843108309.0
2001-02-28,NASDAQ,2129138134.0
2001-03-01,NASDAQ,2293995464.0
2001-03-02,NASDAQ,2250562972.0
2001-03-05,NASDAQ,1483006766.0
2001-03-06,NASDAQ,2014704939.0
2001-03-07,NASDAQ,1805071764.0
2001-03-08,NASDAQ,1787341718.0
2001-03-09,NASDAQ,2043159900.0
2001-03-12,NASDAQ,2161466536.0
2001-03-13,NASDAQ,2134227387.0
2001-03-14,NASDAQ,2184438960.0
2001-03-15,NASDAQ,1972397575.0
2001-03-16,NASDAQ,2153635238.0
2001-03-19,NASDAQ,1789156675.0
2001-03-20,NASDAQ,2104416705.0
2001-03-21,NASDAQ,2191560280.0
2001-03-22,NASDAQ,2630876923.0
2001-03-23,NASDAQ,2501955124.0
2001-03-26,NASDAQ,1879205803.0
2001-03-27,NASDAQ,2012447487.0
2001-03-28,NASDAQ,2109271869.0
2001-03-29,NASDAQ,2094663721.0
2001-03-30,NASDAQ,2089969007.0
2001-04-02,NASDAQ,1888164269.0
2001-04-03,NASDAQ,2580200922.0
2001-04-04,NASDAQ,2554241913.0
2001-04-05,NASDAQ,2372457420.0
2001-04-06,NASDAQ,1902928947.0
2001-04-09,NASDAQ,1510013797.0
2001-04-10,NASDAQ,2246378128.0
2001-04-11,NASDAQ,2408513336.0
2001-04-12,NASDAQ,1883282031.0
2001-04-16,NASDAQ,1591554224.0
2001-04-17,NASDAQ,1974684540.0
2001-04-18,NASDAQ,3228854646.0
2001-04-19,NASDAQ,2833385132.0
2001-04-20,NASDAQ,2564475091.0
2001-04-23,NASDAQ,1873721647.0
2001-04-24,NASDAQ,2011850118.0
2001-04-25,NASDAQ,2013006565.0
2001-04-26,NASDAQ,2041548824.0
2001-04-27,NASDAQ,1789813671.0
2001-04-30,NASDAQ,2011738609.0
2001-05-01,NASDAQ,1918036668.0
2001-05-02,NASDAQ,2601716591.0
2001-05-03,NASDAQ,2050332394.0
2001-05-04,NASDAQ,2076769514.0
2001-05-07,NASDAQ,1748943769.0
2001-05-08,NASDAQ,1904235227.0
2001-05-09,NASDAQ,1818114889.0
2001-05-10,NASDAQ,1758122118.0
2001-05-11,NASDAQ,1434927931.0
2001-05-14,NASDAQ,1352747174.0
2001-05-15,NASDAQ,1734566374.0
2001-05-16,NASDAQ,2123824708.0
2001-05-17,NASDAQ,2165767671.0
2001-05-18,NASDAQ,1801304254.0
2001-05-21,NASDAQ,2330652163.0
2001-05-22,NASDAQ,2352770677.0
2001-05-23,NASDAQ,1928348311.0
2001-05-24,NASDAQ,1926106381.0
2001-05-25,NASDAQ,1415667713.0
2001-05-29,NASDAQ,1671372948.0
2001-05-30,NASDAQ,2026969582.0
2001-05-31,NASDAQ,1839958195.0
2001-06-01,NASDAQ,1580189889.0
2001-06-04,NASDAQ,1333021943.0
2001-06-05,NASDAQ,1885713522.0
2001-06-06,NASDAQ,1798210790.0
2001-06-07,NASDAQ,1742562418.0
2001-06-08,NASDAQ,1449842696.0
2001-06-11,NASDAQ,1437497362.0
2001-06-12,NASDAQ,1805799464.0
2001-06-13,NASDAQ,1682384542.0
2001-06-14,NASDAQ,1960549897.0
2001-06-15,NASDAQ,2202704100.0
2001-06-18,NASDAQ,1620117401.0
2001-06-19,NASDAQ,1938958940.0
2001-06-20,NASDAQ,2191799961.0
2001-06-21,NASDAQ,2223276340.0
2001-06-22,NASDAQ,1835110078.0
2001-06-25,NASDAQ,1544519350.0
2001-06-26,NASDAQ,1677076128.0
2001-06-27,NASDAQ,1757974559.0
2001-06-28,NASDAQ,2006932439.0
2001-06-29,NASDAQ,2679371539.0
2001-07-02,NASDAQ,1584745042.0
2001-07-03,NASDAQ,907389046.0
2001-07-05,NASDAQ,1348222358.0
2001-07-06,NASDAQ,1506029335.0
2001-07-09,NASDAQ,1467820740.0
2001-07-10,NASDAQ,1714512688.0
2001-07-11,NASDAQ,1851517669.0
2001-07-12,NASDAQ,1957484846.0
2001-07-13,NASDAQ,1609119482.0
2001-07-16,NASDAQ,1539532886.0
2001-07-17,NASDAQ,1762042328.0
2001-07-18,NASDAQ,1835763303.0
2001-07-19,NASDAQ,2005477372.0
2001-07-20,NASDAQ,1742562381.0
2001-07-23,NASDAQ,1415257966.0
2001-07-24,NASDAQ,1699174015.0
2001-07-25,NASDAQ,1762717533.0
2001-07-26,NASDAQ,1868394954.0
2001-07-27,NASDAQ,1650287219.0
2001-07-30,NASDAQ,1412020974.0
2001-07-31,NASDAQ,1661796685.0
2001-08-01,NASDAQ,1892699055.0
2001-08-02,NASDAQ,1765207258.0
2001-08-03,NASDAQ,1289878841.0
2001-08-06,NASDAQ,1152235943.0
2001-08-07,NASDAQ,1364282697.0
2001-08-08,NASDAQ,1718614601.0
2001-08-09,NASDAQ,1513638988.0
2001-08-10,NASDAQ,1424903155.0
2001-08-13,NASDAQ,1195324259.0
2001-08-14,NASDAQ,1285936988.0
2001-08-15,NASDAQ,1528372043.0
2001-08-16,NASDAQ,1607566584.0
2001-08-17,NASDAQ,1353418793.0
2001-08-20,NASDAQ,1202034086.0
